0,"Language , Average Annual Salary"
1,"Python , 114383"
2,"Java , 101013"
3,"R , 92037"
4,"Javascript , 110981"
5,"Swift , 130801"
6,"C++ , 113865"
7,"C# , 88726"
8,"PHP , 84727"
9,"SQL , 84793"
10,"Go , 94082"
